id,name,popularity,duration_ms,artists,id_artists,release_date,mood,url
5MhsZlmKJG6X5kTHkdwC4B,I'm an Albatraoz,74,166849,"['AronChupa', 'Little Sis Nora']","['5vCOdeiQt9LyzdI87kt5Sh', '1KYt3TMGpa1LtVi0m2A0F9']",08-08-2014,Happy,https://open.spotify.com/track/5MhsZlmKJG6X5kTHkdwC4B
5jsw9uXEGuKyJzs0boZ1bT,Stitches,74,206880,['Shawn Mendes'],['7n2wHs1TKAczGzO7Dd2rGr'],14-04-2015,Happy,https://open.spotify.com/track/5jsw9uXEGuKyJzs0boZ1bT
5jE48hhRu8E6zBDPRSkEq7,All About That Bass,74,187920,['Meghan Trainor'],['6JL8zeS1NmiOftqZTRgdTz'],09-01-2015,Happy,https://open.spotify.com/track/5jE48hhRu8E6zBDPRSkEq7
7EVk9tRb6beJLTHrg6AkY9,Tuesday (feat. Danelle Sandoval),74,241875,"['Burak Yeter', 'Danelle Sandoval']","['4ON1ruy5ijE7ZPQthbrkgI', '7Dz9goFmVZZqvJxZoKg7pF']",02-09-2016,Happy,https://open.spotify.com/track/7EVk9tRb6beJLTHrg6AkY9
3AEZUABDXNtecAOSC1qTfo,Reggaetón Lento (Bailemos),74,222560,['CNCO'],['0eecdvMrqBftK0M1VKhaF4'],26-08-2016,Happy,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
2EEeOnHehOozLq4aS0n6SL,iSpy (feat. Lil Yachty),74,253107,"['KYLE', 'Lil Yachty']","['4qBgvVog0wzW75IQ48mU7v', '6icQOAFXDZKsumw3YXyusw']",02-12-2016,Happy,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
6NEoeBLQbOMw92qMeLfI40,WHISTLE,74,211632,['BLACKPINK'],['41MozSoPIsD1dJM0CLPjZF'],08-08-2016,Happy,https://open.spotify.com/track/6NEoeBLQbOMw92qMeLfI40
0jA4h2SD50Oak4C3Vn905a,Not Allowed,74,167864,['TV Girl'],['0Y6dVaC9DZtPNH4591M42W'],25-02-2016,Happy,https://open.spotify.com/track/3IznIgmXtrUaoPWpQTy5jB
0utlOiJy2weVl9WTkcEWHy,Neighbors,74,216520,['J. Cole'],['6l3HvQ5sa6mXTsMTB19rO5'],09-12-2016,Happy,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy
7CH99b2i1TXS5P8UUyWtnM,Them Changes,74,188454,['Thundercat'],['4frXpPxQQZwbCu3eTGnZEw'],24-02-2017,Happy,https://open.spotify.com/track/7CH99b2i1TXS5P8UUyWtnM
1KSqYYJFyfTecXFk9M0prc,Escápate Conmigo (feat. Ozuna),74,232787,"['Wisin', 'Ozuna']","['3E6xrwgnVfYCrCs0ePERDz', '1i8SpTcr7yvPOmcqrbnVXY']",01-12-2017,Happy,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
4sNG6zQBmtq7M8aeeKJRMQ,Brazil,74,252307,['Declan McKenna'],['2D4FOOOtWycb3Aw9nY5n3c'],21-07-2017,Happy,https://open.spotify.com/track/4sNG6zQBmtq7M8aeeKJRMQ
